"month","Forest","District","RAWS_station","snow_flag","mean_percent","se_percent"
"Jan","Klamath National Forest","Goosenest Ranger District","Juanita","no",7.79030910609858,2.13674018265391
"Jan","Klamath National Forest","Goosenest Ranger District","Juanita","yes",3.03648907214272,1.81301910313696
"Jan","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",8.81498465162854,1.80655610378332
"Jan","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",0.806085875210299,0.463191735279097
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",0.586510263929619,0.393443045894391
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",0,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",5.12333965844402,2.21390168682695
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",0.94876660341556,0.664136622390892
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",3.78544928629818,1.45007686679684
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",0.564184255940528,0.30678389653843
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",6.54836014768103,1.92815939686132
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",3.43520090548953,1.49693208196302
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",2.41935483870968,0.998611592527242
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",1.41129032258065,0.831271295487432
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",4.12153855160705,1.36532497213525
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",0.33955857385399,0.233339311014016
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",3.78544928629818,1.45007686679684
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",0.564184255940528,0.30678389653843
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",5.77249575551783,2.66348537085458
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",1.86757215619694,1.38045398049241
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",2.41935483870968,0.998611592527242
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",1.41129032258065,0.831271295487432
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",4.75947934352009,1.44585114656175
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",0.509337860780985,0.371105745574533
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",4.28720526236284,1.35467320245038
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",0.783410138248848,0.553635062701693
"Jan","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",20.1228878648233,2.52733690613504
"Feb","Klamath National Forest","Goosenest Ranger District","Juanita","no",17.581860330339,2.86651245122388
"Feb","Klamath National Forest","Goosenest Ranger District","Juanita","yes",7.35294117647059,2.34175386655546
"Feb","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",17.8634124496193,2.23333429893202
"Feb","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",2.5,1.51301194831584
"Feb","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",8.53448275862069,3.06499634386276
"Feb","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",4.63054187192118,2.87005415582893
"Feb","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",8.07060755336617,2.42466168510585
"Feb","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",2.27272727272727,1.33641889718804
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",8.94655273774048,1.9822276639918
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",1.26050420168067,1.05826899577783
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",19.9425989081161,2.57205936979642
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",17.7666729821902,2.64141499455312
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",9.49096880131363,1.69658399968064
"Feb","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",8.07060755336617,1.53497445604452
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",7.24154694461208,1.61289380852311
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",0.595238095238095,0.595238095238095
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",8.94655273774048,1.9822276639918
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",1.26050420168067,1.05826899577783
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",13.847837985769,2.55025736060613
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",9.11330049261084,2.25992804680501
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",9.49096880131363,1.69658399968064
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",8.07060755336617,1.53497445604452
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",14.2125384865857,2.87016923761741
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",4.41935559902892,1.99128578274027
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",14.3732530560117,1.87436004065064
"Feb","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",3.81481306050272,1.6377865535922
"Feb","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",32.054890921886,2.54447217026552
"Mar","Klamath National Forest","Goosenest Ranger District","Juanita","no",23.7128399746996,3.07730773581412
"Mar","Klamath National Forest","Goosenest Ranger District","Juanita","yes",14.123972169513,3.01657718515169
"Mar","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",19.9477367051241,2.80569125015752
"Mar","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",4.59893709059449,1.46481599274252
"Mar","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",10.6451612903226,3.1915746407862
"Mar","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",8.70967741935484,3.33333333333333
"Mar","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",11.6673648931713,2.59327362858067
"Mar","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",1.57100963552576,0.914324054905778
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",9.8805256869773,1.57787265850353
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",2.08728652751423,1.35344806619422
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",30.9153933220147,3.61306102747366
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",29.7809847198642,3.58384548525322
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",13.9112903225806,2.19810465292484
"Mar","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",13.3064516129032,2.181398196631
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",7.26209950053436,1.72185365146285
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",0.97493947523392,0.678060199226541
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",9.8805256869773,1.57787265850353
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",2.08728652751423,1.35344806619422
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",17.0250896057348,2.73278048409249
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",13.6200716845878,2.77905270912611
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",13.9112903225806,2.19810465292484
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",13.3064516129032,2.181398196631
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",21.4846724103386,2.9513435040045
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",9.33179723502304,2.24515184152582
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",22.5215053763441,2.50234295162537
"Mar","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",12.6720430107527,2.76400425641608
"Mar","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",36.8663594470046,3.84638526130535
"Apr","Klamath National Forest","Goosenest Ranger District","Juanita","no",27.9716024340771,3.24903222981264
"Apr","Klamath National Forest","Goosenest Ranger District","Juanita","yes",24.6112237998648,3.30273608311118
"Apr","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",22.4468253968254,2.65879369367595
"Apr","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",15.6134920634921,2.65407109955501
"Apr","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",16.6666666666667,2.72165526975909
"Apr","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",14,2.97313070227992
"Apr","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",13.6475095785441,2.81397363815724
"Apr","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",4.88888888888889,1.68612974284311
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",14.2656449553001,2.0468920102697
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",7.84313725490196,1.93736008287936
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",36.3366174055829,3.47175884236896
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",35.8366174055829,3.62807544412763
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",10.3129527673138,2.18920839668388
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",3.33333333333333,1.51247535495505
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",14.2656449553001,2.0468920102697
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",7.84313725490196,1.93736008287936
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",24.7380952380952,3.10658705982653
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",23.5714285714286,3.28255269053364
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",23.6631400208986,2.9815267404069
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",19.7237460815047,2.91040657658916
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",25.9363711001642,3.09956432741796
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",21.9207717569787,3.37005644835811
"Apr","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",43.968253968254,2.67873309329892
"May","Klamath National Forest","Goosenest Ranger District","Juanita","no",26.3675778598156,2.19760269235076
"May","Klamath National Forest","Goosenest Ranger District","Juanita","yes",26.5467893293497,2.27811400943503
"May","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",20.6396359711849,2.70261371433126
"May","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",20.6396359711849,2.70261371433126
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",25.1612903225806,4.50587673973268
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",25.1612903225806,4.50587673973268
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",15.2088613305119,2.66066860770878
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",12.152834165826,2.11733900449382
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",18.7508296827293,2.86467310955264
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",18.3484433199803,2.95189309376196
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",33.014888337469,3.27493008279759
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",33.014888337469,3.27493008279759
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",15.2867383512545,3.00907368120696
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",10.8064516129032,2.87748917602813
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",18.7508296827293,2.86467310955264
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",18.3484433199803,2.95189309376196
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",26.2903225806452,2.90676072290335
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",26.2903225806452,2.90676072290335
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",20.3987176918453,2.76011646240146
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",20.3987176918453,2.76011646240146
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",28.6152868266328,3.35083423078398
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",28.7819534932994,3.34987783379865
"May","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",44.3932411674347,4.34447057223698
"Jun","Klamath National Forest","Goosenest Ranger District","Juanita","no",20.4333333333333,2.54561887143313
"Jun","Klamath National Forest","Goosenest Ranger District","Juanita","yes",20.6833333333333,2.55563532802013
"Jun","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",19.1521739130435,2.59363554811771
"Jun","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",19.3188405797101,2.65744142681128
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",16.3333333333333,3.92679934379384
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",16.3333333333333,3.92679934379384
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",16.140350877193,2.42178704571329
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",16.140350877193,2.42178704571329
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",18.3333333333333,2.61621667446084
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",19.6078431372549,2.60219792940921
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",22.9525373367738,2.77647211245508
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",22.9525373367738,2.77647211245508
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",15.3703703703704,2.9414387037136
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",15.3703703703704,2.9414387037136
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",18.3333333333333,2.61621667446084
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",19.6078431372549,2.60219792940921
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",20.462962962963,3.18886353180936
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",20.462962962963,3.18886353180936
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",16.5755336617406,2.4226477011839
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",16.5755336617406,2.4226477011839
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",21.5638439283759,3.38870514135675
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",21.7225740871061,3.45064853355576
